"Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Ticker"
"1"	"30-Dec-14"	113.64	113.92	112.11	112.52	"29881477"	"AAPL"
"2"	"29-Dec-14"	113.79	114.77	113.7	113.91	"27598920"	"AAPL"
"3"	"26-Dec-14"	112.1	114.52	112.01	113.99	"33720951"	"AAPL"
"4"	"24-Dec-14"	112.58	112.71	112.01	112.01	"14479611"	"AAPL"
"5"	"23-Dec-14"	113.23	113.33	112.46	112.54	"26028419"	"AAPL"
"6"	"22-Dec-14"	112.16	113.49	111.97	112.94	"45167549"	"AAPL"
"7"	"19-Dec-14"	112.26	113.24	111.66	111.78	"88429770"	"AAPL"
"8"	"18-Dec-14"	111.87	112.65	110.66	112.65	"59006218"	"AAPL"
"9"	"17-Dec-14"	107.12	109.84	106.82	109.41	"53411773"	"AAPL"
"10"	"16-Dec-14"	106.37	110.16	106.26	106.74	"60790733"	"AAPL"
"11"	"15-Dec-14"	110.7	111.6	106.35	108.22	"67218082"	"AAPL"
"12"	"12-Dec-14"	110.46	111.87	109.58	109.73	"56028138"	"AAPL"
"13"	"11-Dec-14"	112.26	113.8	111.34	111.62	"41471578"	"AAPL"
"14"	"10-Dec-14"	114.41	114.85	111.54	111.95	"44565318"	"AAPL"
"15"	"9-Dec-14"	110.19	114.3	109.35	114.12	"60208036"	"AAPL"
"16"	"8-Dec-14"	114.1	114.65	111.62	112.4	"57664850"	"AAPL"
"17"	"5-Dec-14"	115.99	116.08	114.64	115	"38318895"	"AAPL"
"18"	"4-Dec-14"	115.77	117.2	115.29	115.49	"42155776"	"AAPL"
"19"	"3-Dec-14"	115.75	116.35	115.11	115.93	"43063440"	"AAPL"
"20"	"2-Dec-14"	113.5	115.75	112.75	114.63	"59348940"	"AAPL"
"21"	"1-Dec-14"	118.81	119.25	111.27	115.07	"83814037"	"AAPL"
"22"	"28-Nov-14"	119.27	119.4	118.05	118.93	"24814402"	"AAPL"
"23"	"26-Nov-14"	117.94	119.1	117.83	119	"40831886"	"AAPL"
"24"	"25-Nov-14"	119.07	119.75	117.45	117.6	"68840440"	"AAPL"
"25"	"24-Nov-14"	116.85	118.77	116.62	118.62	"47450824"	"AAPL"
